word;gender;definition;link;correct_tally;incorrect_tally
lit;m;Anglais : bed (en) stream bed (en), riverbed (en) (lit mineur), floodplain (en) (lit majeur), river bed (en) ;https://fr.wiktionary.org/wiki/lit;0;0
marche;f;Anglais : march (en) (Vieilli), frontier (en) march (en) march (en) walk (en) moving (en) march (en) working (en) (adjectif: en marche) step (en), rung (en) ;https://fr.wiktionary.org/wiki/marche;0;0
matelas;m;Anglais : mattress (en) ;https://fr.wiktionary.org/wiki/matelas;0;0
maternelle;f;Anglais : nursery school (en), kindergarden (en), kindergarten (en), preschool (en) ;https://fr.wiktionary.org/wiki/maternelle;0;0
meuble;m;Anglais : piece of furniture (en) furniture (en) common charge (en) (par opposition à ordinary, « pièce ») loose (en) ;https://fr.wiktionary.org/wiki/meuble;0;0
mousse;f;Anglais : moss (en) foam (en), suds (en) foam (en) foam material (en) mousse (en) cabin boy (en), matey (en) (familier) blunt (en) ;https://fr.wiktionary.org/wiki/mousse;0;0
mur;m;Anglais : wall (en) ;https://fr.wiktionary.org/wiki/mur;0;0
peluche;f;Anglais : plush (en) stuffed toy (en), plush toy (en) ;https://fr.wiktionary.org/wiki/peluche;0;0
placard;m;Anglais : cupboard (en), closet (en), locker (en) poster (en), placard (en) slammer (en) (Familier), jail (en), prison (en) banishment room (en) ;https://fr.wiktionary.org/wiki/placard;0;0
plafond;m;Anglais : ceiling (en) ceiling (en) ceiling (en) top cut (en) ;https://fr.wiktionary.org/wiki/plafond;0;0
porte;f;Anglais : door (en) gate (en) (écluse)  door (en) (double porte) gate (en) gateway (en) gate (en) gate (en) filter (en) ring (en) gate (en) gateway (en) doorstep (en) ;https://fr.wiktionary.org/wiki/porte;0;0
portemanteau;m;Anglais : coat rack (en) ;https://fr.wiktionary.org/wiki/portemanteau;0;0
poubelle;f;Anglais : trash can (en), trash bin (en) (Royaume-Uni), bin (en) (Royaume-Uni), garbage can (en) trash (en) (États-Unis), rubbish (en) ;https://fr.wiktionary.org/wiki/poubelle;0;0
radiateur;m;Anglais : radiator (en) radiator (en) heat sink (en) ;https://fr.wiktionary.org/wiki/radiateur;0;0
rampe;f;Anglais : ramp (en), slope (en) banister (en) ou bannister (en) balustrade (en), parapet (en), railing (en) lightbar (en) ;https://fr.wiktionary.org/wiki/rampe;0;0
récréation;f;Anglais : recreation (en), distraction (en), diversion (en), entertainment (en), amusement (en), fun (en), pleasure (en) recreation (en), recess (en) (États-Unis) recreation (en) ;https://fr.wiktionary.org/wiki/r%C3%A9cr%C3%A9ation;0;0
rentrée;f;Anglais : return (en), come-back (en) back-to-school (en) (adj: de la rentrée) ;https://fr.wiktionary.org/wiki/rentr%C3%A9e;0;0
rideau;m;Anglais : curtain (en) curtain (en) ;https://fr.wiktionary.org/wiki/rideau;0;0
robinet;m;Anglais : faucet (en) 
salle;f;Anglais : room (en) room (en), hall (en) auditorium (en) ;https://fr.wiktionary.org/wiki/salle;0;0
savon;m;Anglais : soap (en) ;https://fr.wiktionary.org/wiki/savon;0;0
serrure;f;Anglais : lock (en) ;https://fr.wiktionary.org/wiki/serrure;0;0
serviette;f;Anglais : napkin (en) (États-Unis), serviette (en) (Royaume-Uni) towel (en) sanitary napkin (en) briefcase (en) ;https://fr.wiktionary.org/wiki/serviette;0;0
siège;m;Anglais : seat (en) commun seat (en) siege (en) siege (en) ;https://fr.wiktionary.org/wiki/si%C3%A8ge;0;0
sieste;f;Anglais : nap (en) (petit sommeil)  siesta (en) (sommeil après le déjeuner) ;https://fr.wiktionary.org/wiki/sieste;0;0
silence;m;Anglais : silence (en) silence (en) silence (en) rest (en) quiet (en) ;https://fr.wiktionary.org/wiki/silence;0;0
sol;m;Anglais : G (en) (fixe)  sol (en), so (en) (mobile) ground (en) (à l’extérieur, dehors), floor (en) (à l’intérieur, dedans) soil (en), earth (en) sol (en) sol (en) ;https://fr.wiktionary.org/wiki/sol;0;0
sommeil;m;Anglais : sleep (en) ;https://fr.wiktionary.org/wiki/sommeil;0;0
sonnette;f;Anglais : doorbell (en) (1), bell (en) pile driver (en) ;https://fr.wiktionary.org/wiki/sonnette;0;0
sortie;f;Anglais : egress (en) exit (en), egress (en), way out (en) egress (en) ;https://fr.wiktionary.org/wiki/sortie;0;0
table;f;Anglais : table (en) table (en) ;https://fr.wiktionary.org/wiki/table;0;0
tableau;m;Anglais : painting (en), picture (en) blackboard (en), chalkboard (en) picture (en), scene (en) table (en), tabulation (en) array (en), table (en) bulletin board (en) dashboard (en) board (en) ;https://fr.wiktionary.org/wiki/tableau;0;0
tabouret;m;Anglais : stool (en) ;https://fr.wiktionary.org/wiki/tabouret;0;0
tapis;m;Anglais : carpet (en) ;https://fr.wiktionary.org/wiki/tapis;0;0
tiroir;m;Anglais : drawer (en) slide-valve (en), valve-gear (en) ;https://fr.wiktionary.org/wiki/tiroir;0;0
toilette;f;Anglais : toilet (en), bathe oneself (en) dress (en), attire (en) toilet (en), water closet (en), bathroom (en), bathroom (en) ;https://fr.wiktionary.org/wiki/toilette;0;0
vitre;f;Anglais : car window (en)  (sliding) window (en) glass (en) ;https://fr.wiktionary.org/wiki/vitre;0;0
w.-c.;m;Anglais : toilet (en), lavatory (en) ;https://fr.wiktionary.org/wiki/w.-c.;0;0
crayon;m;Anglais : pencil (en) rod (en) ;https://fr.wiktionary.org/wiki/crayon;0;0
stylo;m;Anglais : pen (en) ballpoint pen (en) fountain pen (en) felt-tip pen (en) ;https://fr.wiktionary.org/wiki/stylo;0;0
feutre;m;Anglais : felt (en) felt (en), trilby (en) ;https://fr.wiktionary.org/wiki/feutre;0;0
taille-crayon;m;Anglais : pencil sharpener (en), pen sharpener (en), sharpener (en) ;https://fr.wiktionary.org/wiki/taille-crayon;0;0
pointe;f;Anglais : point (en) pinch (en) pinch (en) ;https://fr.wiktionary.org/wiki/pointe;0;0
mine;f;Anglais : mine (en) lead (en) mine (en) mine (en) expression (en), mien (en), look (en), air (en), appearance (en) mina (en) ;https://fr.wiktionary.org/wiki/mine;0;0
gomme;f;Anglais : eraser (en), rubber (en) (Royaume-Uni) chewing gum (en) adhesive (en), gum (en) (Vieilli) ;https://fr.wiktionary.org/wiki/gomme;0;0
dessin;m;Anglais : drawing (en), design (en), draught (en), picture (en) ;https://fr.wiktionary.org/wiki/dessin;0;0
coloriage;m;Anglais : coloring (en) (1) ;https://fr.wiktionary.org/wiki/coloriage;0;0
rayure;f;Anglais : scratch (en) rifling (en) stripe (en) ;https://fr.wiktionary.org/wiki/rayure;0;0
peinture;f;Anglais : painting (en) painting (en) painting (en) paint (en) ;https://fr.wiktionary.org/wiki/peinture;0;0
pinceau;m;Anglais : paint brush (en), paintbrush (en) light beam (en) ;https://fr.wiktionary.org/wiki/pinceau;0;0
couleur;f;Anglais : colour (en) (Royaume-Uni), color (en) (États-Unis) tincture (en) dye (en), paint (en) flush (en) ;https://fr.wiktionary.org/wiki/couleur;0;0
craie;f;Anglais : chalk (en) chalk (en) chalk (en) ;https://fr.wiktionary.org/wiki/craie;0;0
papier;m;Anglais : paper (en) (1) ;https://fr.wiktionary.org/wiki/papier;0;0
feuille;f;Anglais : leaf (en), blade (en) (d’herbe) sheet (en) sheet (en), leaf (en) ;https://fr.wiktionary.org/wiki/feuille;0;0
cahier;m;Anglais : notebook (en), exercise book (en) gathering (en), section (en), signature (en) ;https://fr.wiktionary.org/wiki/cahier;0;0
carnet;m;Anglais : notebook (en) ;https://fr.wiktionary.org/wiki/carnet;0;0
carton;m;Anglais : carton (en) (1, 2), cardboard (en), pasteboard (en), box (en) (3) ;https://fr.wiktionary.org/wiki/carton;0;0
ciseaux;m;Anglais : scissors (en), pair of scissors (en) bicycle kick (en), overhead kick (en) ;https://fr.wiktionary.org/wiki/ciseaux;0;0
découpage;m;Anglais : cutting (en), apportionment (en) (politique) ;https://fr.wiktionary.org/wiki/d%C3%A9coupage;0;0
pliage;m;Anglais : folding (en) ;https://fr.wiktionary.org/wiki/pliage;0;0
pli;m;Anglais : fold (en), dart (en) (intentionnel) trick (en) ply (en) ;https://fr.wiktionary.org/wiki/pli;0;0
colle;f;Anglais : glue (en), adhesive (en), cement (en), paste (en) sticky (en) question, stumper (en) detention (en) finings (en) ;https://fr.wiktionary.org/wiki/colle;0;0
affaire;f;Anglais : affair (en), business (en) affair (en) matter (en), thing (en) affair (en) deal (en) affair (en), case (en) business (en) things (en) ;https://fr.wiktionary.org/wiki/affaire;0;0
boîte;f;Anglais : box (en) ;https://fr.wiktionary.org/wiki/bo%C3%AEte;0;0
casier;m;Anglais : trap (en) bin (en), locker (en), pigeonhole (en) criminal record (en) ;https://fr.wiktionary.org/wiki/casier;0;0
caisse;f;Anglais : box (en), chest (en), case (en), crate (en) cash-box (en), money-box (en) checkout (en), cash desk (en) cash register (en) fund (en) snare drum (en) ;https://fr.wiktionary.org/wiki/caisse;0;0
trousse;f;Anglais : kit (en), case (en) pencil case (en) ;https://fr.wiktionary.org/wiki/trousse;0;0
cartable;m;Anglais : satchel (en), school bag (en) ;https://fr.wiktionary.org/wiki/cartable;0;0
jouet;m;Anglais : toy (en) ;https://fr.wiktionary.org/wiki/jouet;0;0
jeu;m;Anglais : play (en), game (en) gambling (en) game (en) performance (en), acting (en) concert (en), performance (en) play (en) set (en) looseness (en), wobble (en), backlash (en), play (en) clearance (en) (génie mécanique), gap (en), slack (en), play (en) play (en) child's play (en), joke (en) ;https://fr.wiktionary.org/wiki/jeu;0;0
pion;m;Anglais : pawn (en), man (en), counter (en) peon (en) spy (en), narc (en), monitor (en) pin (en), peg (en), key (en), alignment pin (en) pion (en) ;https://fr.wiktionary.org/wiki/pion;0;0
dé;m;Anglais : dee (en) ;https://fr.wiktionary.org/wiki/d%C3%A9;0;0
domino;m;Anglais : dominoes (en) ;https://fr.wiktionary.org/wiki/domino;0;0
puzzle;m;Anglais : jigsaw puzzle (en) ;https://fr.wiktionary.org/wiki/puzzle;0;0
cube;m;Anglais : cube (en) (1-3) ;https://fr.wiktionary.org/wiki/cube;0;0
perle;f;Anglais : pearl (en) bead (en) howler (en) stonefly (en), stone fly (en), stone-fly (en) ;https://fr.wiktionary.org/wiki/perle;0;0
chose;f;Anglais : thing (en), item (en), stuff (en), article (en), object (en) object (en), subject (en), affair (en), business (en), case (en), matter (en), issue (en), question (en) thing (en) ;https://fr.wiktionary.org/wiki/chose;0;0
forme;f;Anglais : form (en), shape (en) form (en) (form and essence = forme et fond) pattern (en) form (en), item (en) form (en), non-lemma (en) configuration (en) ;https://fr.wiktionary.org/wiki/forme;0;0
carré;m;Anglais : square (en) square (en) square (en) square-shouldered (en) square (en) square (en) square (en) four of a kind (en), quads (en) (Royaume-Uni) (Argot) pageboy cut (en) clique (en) rack (en), lean eye (en) square bar (en) carriage key (en) excavation plot (en) ;https://fr.wiktionary.org/wiki/carr%C3%A9;0;0
rond;m;Anglais : round (en) round (en) round (en) fat (en), rotund (en) round (en) round (en) round (en) circle (en), ring (en), round (en) ;https://fr.wiktionary.org/wiki/rond;0;0
pâte à modeler;f;Anglais : modeling clay (en), modeling paste (en), plasticine (en) ;https://fr.wiktionary.org/wiki/p%C3%A2te_%C3%A0_modeler;0;0
tampon;m;Anglais : bumper (en) stamp (en) tampon (en) buffer (en) ;https://fr.wiktionary.org/wiki/tampon;0;0
livre;m;Anglais : book (en) Good Book (en) pound (en) pound (en) half a kilo (en) pound (en) ;https://fr.wiktionary.org/wiki/livre;0;0
histoire;f;Anglais : history (en) story (en)  account (en), tale (en), fairy tale (en) ;https://fr.wiktionary.org/wiki/histoire;0;0
bibliothèque;f;Anglais : library (en) library (en) bookcase (en) library (en) ;https://fr.wiktionary.org/wiki/biblioth%C3%A8que;0;0
image;f;Anglais : picture (en), image (en), pic (en) (Familier) icon (in a church) (en), statue (in a church) (en) image (en) souvenir medallion (en) reflection (en) (Figuré), image (en) image (en) image (en), picture (en) image (en), picture (en) image (en) image (en) image (en) image (of an element) (en)  range (ensemble des images des éléments) (en) ;https://fr.wiktionary.org/wiki/image;0;0
album;m;Anglais : album (en) album (en) ;https://fr.wiktionary.org/wiki/album;0;0
titre;m;Anglais : title (en), heading (en) title (en) salutation (en) titre (en) as (en) (à titre de), in accordance with (en) (au titre de), according to (en) (au titre de) tittle (en) ;https://fr.wiktionary.org/wiki/titre;0;0
bande dessinée;f;Anglais : comic strip (en), strip cartoon (en), comics (en) comic book (en) (pour les enfants), graphic novel (en) (pour les adultes) ;https://fr.wiktionary.org/wiki/bande_dessin%C3%A9e;0;0
conte;m;Anglais : story (en), tale (en), fairy tale (en) ;https://fr.wiktionary.org/wiki/conte;0;0
dictionnaire;m;Anglais : dictionary (en) vocabulary (en) ;https://fr.wiktionary.org/wiki/dictionnaire;0;0
magazine;m;Anglais : magazine (en) ;https://fr.wiktionary.org/wiki/magazine;0;0
catalogue;m;Anglais : catalogue (en), (États-Unis) catalog (en) ;https://fr.wiktionary.org/wiki/catalogue;0;0
page;f;Anglais : page (en) page (en) page (en) ;https://fr.wiktionary.org/wiki/page;0;0
ligne;f;"Anglais : line (en) fishing line (en) line (en) (1,2,3,4,6 exemple 4: ""party line""), round (en) (5, au pluriel), figure (en) (ligne du corps), row (en) ";https://fr.wiktionary.org/wiki/ligne;0;0
mot;m;Anglais : word (en) ;https://fr.wiktionary.org/wiki/mot;0;0
enveloppe;f;Anglais : case (en), casing (en) envelope (en) ;https://fr.wiktionary.org/wiki/enveloppe;0;0
étiquette;f;Anglais : label (en), sticker (en) etiquette (en) ;https://fr.wiktionary.org/wiki/%C3%A9tiquette;0;0
carte d’appel;f;Anglais : calling card (en), phone card (en), telephone card (en) ;https://fr.wiktionary.org/wiki/carte_d%E2%80%99appel;0;0
affiche;f;Anglais : placard (en), poster (en), bill (en), (advertising) sign (en) ;https://fr.wiktionary.org/wiki/affiche;0;0
alphabet;m;Anglais : alphabet (en), ABC (en) ;https://fr.wiktionary.org/wiki/alphabet;0;0
appareil;m;Anglais : gear (en) 
caméscope;m;Anglais : camcorder (en), camrecorder (en) ;https://fr.wiktionary.org/wiki/cam%C3%A9scope;0;0
cassette;f;Anglais : treasure (en), cassette (en) ;https://fr.wiktionary.org/wiki/cassette;0;0
cédé;m;Anglais : ;https://fr.wiktionary.org/wiki/c%C3%A9d%C3%A9;0;0
cédérom;m;Anglais : compact disk read-only memory (en), CD-ROM (en) ;https://fr.wiktionary.org/wiki/c%C3%A9d%C3%A9rom;0;0
chaîne;f;Anglais : chain (en) snow chain (en) transmission belt (en), transmission chain (en) (Mécanique) 
chanson;f;Anglais : song (en), ballad (en) ;https://fr.wiktionary.org/wiki/chanson;0;0
chiffre;m;Anglais : cipher (en), digit (en), figure (en), numeral (en) Niobe fritillary (en) ;https://fr.wiktionary.org/wiki/chiffre;0;0
contraire;m;Anglais : opposite (en) contrary (en) contrary (en) ;https://fr.wiktionary.org/wiki/contraire;0;0
différence;f;Anglais : difference (en), dissimilarity (en) ;https://fr.wiktionary.org/wiki/diff%C3%A9rence;0;0
doigt;m;Anglais : finger (en), digit (en) toe (en) ;https://fr.wiktionary.org/wiki/doigt;0;0
écran;m;Anglais : screen (en) monitor (en) ;https://fr.wiktionary.org/wiki/%C3%A9cran;0;0
film;m;Anglais : film (en)  movie (en), motion picture (en) ;https://fr.wiktionary.org/wiki/film;0;0
fois;f;Anglais : time (en), occasion (en) time (en) times (en) ;https://fr.wiktionary.org/wiki/fois;0;0
idée;f;Anglais : idea (en) (1), thought (en), notion (en), conception (en) ;https://fr.wiktionary.org/wiki/id%C3%A9e;0;0
instrument;m;Anglais : instrument (en) instrument (en) (tous les quatre sens), means (en), tool (en), agent (en), gadget (en), implement (en), utensil (en) ;https://fr.wiktionary.org/wiki/instrument;0;0
intrus;m;Anglais : intrusion (en) (1)  intruder (en) (2) ;https://fr.wiktionary.org/wiki/intrus;0;0
lettre;f;Anglais : letter (en) letter (en), character (en) letter (en) ;https://fr.wiktionary.org/wiki/lettre;0;0
liste;f;Anglais : list (en), nomination (en), recommendation (en), table (en), tabulation (en), tablet (en), array (en) ;https://fr.wiktionary.org/wiki/liste;0;0
magnétoscope;m;Anglais : video recorder (en), video-recorder (en) ;https://fr.wiktionary.org/wiki/magn%C3%A9toscope;0;0
main;f;Anglais : hand (en) ;https://fr.wiktionary.org/wiki/main;0;0
micro;m;Anglais : mike (en), mic (en) ;https://fr.wiktionary.org/wiki/micro;0;0
modèle;m;Anglais : model (en), template (en) model (en) model (en) model (en) model (en) model (en) template (en) model (en) model (en) model (en) ;https://fr.wiktionary.org/wiki/mod%C3%A8le;0;0
musique;f;Anglais : music (en) ;https://fr.wiktionary.org/wiki/musique;0;0
nom;m;Anglais : name (en), appellation (en), denomination (en) noun (en), noun substantive (en), substantive (en) ;https://fr.wiktionary.org/wiki/nom;0;0
nombre;m;Anglais : number (en), amount (en) ;https://fr.wiktionary.org/wiki/nombre;0;0
orchestre;m;Anglais : orchestra (en) ;https://fr.wiktionary.org/wiki/orchestre;0;0
ordinateur;m;Anglais : computer (en) ordinator (en) ;https://fr.wiktionary.org/wiki/ordinateur;0;0
photo;f;Anglais : photo (en) (Familier), photograph (en), picture (en) ;https://fr.wiktionary.org/wiki/photo;0;0
point;m;Anglais : stitch (en) lace (en) stitch (en) point (en) point (en) period (en), full stop (en) (fin de phrase) 
poster;m;Anglais : poster (en) post (en) mail (en) post (en)  submit (en) ;https://fr.wiktionary.org/wiki/poster;0;0
pouce;m;Anglais : thumb (en), pollex (en) inch (en) ;https://fr.wiktionary.org/wiki/pouce;0;0
prénom;m;Anglais : praenomen (en) first name (en), given name (en), forename (en) ;https://fr.wiktionary.org/wiki/pr%C3%A9nom;0;0
question;f;Anglais : question (en), inquiry (en) ;https://fr.wiktionary.org/wiki/question;0;0
radio;f;Anglais : radio (en)  wireless (en) (Archaïsme) radio (en), broadcast listener (en) ;https://fr.wiktionary.org/wiki/radio;0;0
sens;m;Anglais : meaning (en), sense (en) sense (en) way (en), direction (en) way (en) orientation (en) (Mathématiques)  feel (en), smell (en) ;https://fr.wiktionary.org/wiki/sens;0;0
tambour;m;Anglais : drum (en), drummer (en) drummer (en) ;https://fr.wiktionary.org/wiki/tambour;0;0
télécommande;f;Anglais : remote control (en) (1,2) 
téléphone;m;Anglais : telephone (en), phone (en) ;https://fr.wiktionary.org/wiki/t%C3%A9l%C3%A9phone;0;0
télévision;f;Anglais : television (en) (1-2), TV (en) (1-2) ;https://fr.wiktionary.org/wiki/t%C3%A9l%C3%A9vision;0;0
trait;m;Anglais : trace (en) gulp (en) line (en), stroke (en) line (en) (of coke) feature (en) trait (en), attribute (en), characteristic (en) trait (en) trait (en) ;https://fr.wiktionary.org/wiki/trait;0;0
trompette;f;Anglais : trumpet (en) ;https://fr.wiktionary.org/wiki/trompette;0;0
voix;f;Anglais : voice (en) vote (en) voice (en) (6) ;https://fr.wiktionary.org/wiki/voix;0;0
xylophone;m;Anglais : xylophone (en) ;https://fr.wiktionary.org/wiki/xylophone;0;0
zéro;c;Anglais : zero (en) zero (en), nought (en), null (en), oh (en) (chiffre) ;https://fr.wiktionary.org/wiki/z%C3%A9ro;0;0
ami;m;Anglais : friend (en), fellow-thinker (en), mate (en), pal (en), buddy (en) Ami (en) friendly (en) ;https://fr.wiktionary.org/wiki/ami;0;0
attention;f;Anglais : attention (en), acuity (en), advertence (en), advertency (en), heed (en), attentiveness (en) pay attention (en), watch out (en), cheese it (en) ;https://fr.wiktionary.org/wiki/attention;0;0
camarade;m;Anglais : comrade (en), buddy (en), companion (en), pal (en), fellow (en) ;https://fr.wiktionary.org/wiki/camarade;0;0
colère;f;Anglais : anger (en), rage (en), wrath (en) ;https://fr.wiktionary.org/wiki/col%C3%A8re;0;0
copain;m;Anglais : pal (en), buddy (en) (Vieilli), mate (en) (Royaume-Uni), friend (en) ;https://fr.wiktionary.org/wiki/copain;0;0
coquin;m;Anglais : rascal (en) naughty (en) ;https://fr.wiktionary.org/wiki/coquin;0;0
dame;f;Anglais : lady (en) queen (en) queen (en) queen (en) beetle (en) 
directeur;m;Anglais : leading (en), managing (en) manager (en), administrator (en), director (en)  (thesis) advisor (en) (directeur de thèse) president (en) (president of the National Academy of Science) ;https://fr.wiktionary.org/wiki/directeur;0;0
directrice;f;Anglais : manager (en), director (en), directress (en), directrix (en) ;https://fr.wiktionary.org/wiki/directrice;0;0
droit;i;"Anglais : right (en), right-hand (en) straight (en) (= ""toute à droite""), direct (en), straightforward (en) (Figuré) square (en), right-angle (en) erect (en), upright (en) right (en), faithful (en), loyal (en), upright (en), staunch (en), true (en), trusty (en) straight (en) law (en), right (en), entitlement (en) law (en) right (en) rectus (en) ";https://fr.wiktionary.org/wiki/droit;0;0
effort;m;Anglais : effort (en), attempt (en), endeavour (en), exertion (en) load (en) strain (en) working (en), struggle (en) ;https://fr.wiktionary.org/wiki/effort;0;0
élève;m;Anglais : student (en), pupil (en), learner (en) ;https://fr.wiktionary.org/wiki/%C3%A9l%C3%A8ve;0;0
enfant;m;Anglais : child (en), infant (en), kid (en), youngster (en), bairn (en) (Écosse) child (en) ;https://fr.wiktionary.org/wiki/enfant;0;0
fatigue;f;Anglais : fatigue (en), weariness (en), tiredness (en) ;https://fr.wiktionary.org/wiki/fatigue;0;0
faute;f;Anglais : mistake (en) mistake (en) ;https://fr.wiktionary.org/wiki/faute;0;0
fille;f;Anglais : girl (en) daughter (en) ;https://fr.wiktionary.org/wiki/fille;0;0
garçon;m;Anglais : boy (en) ;https://fr.wiktionary.org/wiki/gar%C3%A7on;0;0
gardien;m;Anglais : guard (en), keeper (en) guardian (en) guard (en), gatekeeper (en) guardian (en) ;https://fr.wiktionary.org/wiki/gardien;0;0
madame;f;Anglais : madam (en) ;https://fr.wiktionary.org/wiki/madame;0;0
maître;m;Anglais : leader (en), chief (en) headmaster (en) master (en) owner (en) slaveholder (en), master (en) master (en), teacher (en) master (en) petty officer first class (en) (États-Unis), petty officer (en) (Royaume-Uni) chief petty officer (en) ;https://fr.wiktionary.org/wiki/ma%C3%AEtre;0;0
maîtresse;f;Anglais : ;https://fr.wiktionary.org/wiki/ma%C3%AEtresse;0;0
mensonge;m;Anglais : lie (en), falsehood (en) dream (en), illusion (en) ;https://fr.wiktionary.org/wiki/mensonge;0;0
ordre;m;Anglais : order (en) order (en) order (en) order (en) order (en) ;https://fr.wiktionary.org/wiki/ordre;0;0
personne;f;Anglais : person (en) someone (en), somebody (en) nobody (en), no one (en) ;https://fr.wiktionary.org/wiki/personne;0;0
retard;m;Anglais : backwardness (en), retard (en), delay (en), arrears (en) ;https://fr.wiktionary.org/wiki/retard;0;0
sourire;i;Anglais : smile (en) smile (en), grin (en) ;https://fr.wiktionary.org/wiki/sourire;0;0
travail;m;Anglais : work (en) (normalement non dénombrable) work (en) (normalement non dénombrable), job (en) (dénombrable) labor (en) (États-Unis) ou labour (en) (Royaume-Uni) trave (en), travise (en) ;https://fr.wiktionary.org/wiki/travail;0;0
arrosoir;m;Anglais : watering can (en), watercan (en) ;https://fr.wiktionary.org/wiki/arrosoir;0;0
assiette;f;Anglais : plate (en), dish (en) pitch (en) trim (en) ;https://fr.wiktionary.org/wiki/assiette;0;0
balle;f;Anglais : ball (en) bullet (en) bale (en) chaff (en) ;https://fr.wiktionary.org/wiki/balle;0;0
bateau;m;Anglais : boat (en), vessel (en), craft (en), ship (en) curb cut (en), driveway entrance (en) ;https://fr.wiktionary.org/wiki/bateau;0;0
bouchon;m;Anglais : stopper (en), plug (en), cork (en) (du vin), cap (en) float (en) traffic congestion (en), traffic jam (en), stop-and-go traffic (en) dongle (en) pile (en) stub (en) electric plug (en) → voir fiche électrique ;https://fr.wiktionary.org/wiki/bouchon;0;0
bouteille;f;Anglais : bottle (en) ;https://fr.wiktionary.org/wiki/bouteille;0;0
bulles;f;Anglais : ;https://fr.wiktionary.org/wiki/bulle;0;0
canard;m;Anglais : duck (en) (mâle ou femelle), drake (en) (mâle) rag (en), paper (en) ;https://fr.wiktionary.org/wiki/canard;0;0
casserole;f;Anglais : pot (en) 
cuillère;f;Anglais : spoon (en) 
cuvette;f;Anglais : bowl (en), tub (en), basin (en) basin (en) ;https://fr.wiktionary.org/wiki/cuvette;0;0
douche;f;Anglais : shower (en) ;https://fr.wiktionary.org/wiki/douche;0;0
entonnoir;m;Anglais : funnel (en) ;https://fr.wiktionary.org/wiki/entonnoir;0;0
gouttes;f;Anglais : ;https://fr.wiktionary.org/wiki/goutte;0;0
litre;m;Anglais : liter (en), litre (en) ;https://fr.wiktionary.org/wiki/litre;0;0
moulin;m;Anglais : mill (en) paradiddle (en) moulin (en) (7 : (Géologie)) ;https://fr.wiktionary.org/wiki/moulin;0;0
pluie;f;Anglais : rain (en) ;https://fr.wiktionary.org/wiki/pluie;0;0
poisson;m;Anglais : fish (en) ;https://fr.wiktionary.org/wiki/poisson;0;0
pont;m;Anglais : bridge (en) deck (en) ;https://fr.wiktionary.org/wiki/pont;0;0
